Pixel at (0, 139): R=0, G=0, B=0
Pixel at (0, 140): R=0, G=0, B=0
Pixel at (0, 141): R=0, G=0, B=0
Pixel at (0, 142): R=0, G=0, B=0
Pixel at (0, 143): R=0, G=0, B=0
Pixel at (0, 144): R=0, G=0, B=0
Pixel at (0, 145): R=0, G=0, B=0
Pixel at (0, 146): R=0, G=0, B=0
Pixel at (0, 147): R=0, G=0, B=0
Pixel at (0, 148): R=0, G=0, B=0
Pixel at (0, 149): R=0, G=0, B=0
Pixel at (0, 150): R=0, G=0, B=0
Pixel at (0, 151): R=0, G=0, B=0
Pixel at (0, 152): R=0, G=0, B=0
Pixel at (0, 153): R=0, G=0, B=0
Pixel at (0, 154): R=0, G=0, B=0
Pixel at (0, 155): R=0, G=0, B=0
Pixel at (0, 156): R=0, G=0, B=0
Pixel at (0, 157): R=0, G=0, B=0
Pixel at (0, 158): R=0, G=0, B=0
Pixel at (0, 159): R=0, G=0, B=0
Pixel at (0, 160): R=0, G=0, B=0
Pixel at (0, 161): R=0, G=0, B=0
Pixel at (0, 162): R=0, G=0, B=0
Pixel at (0, 163): R=0, G=0, B=0
Pixel at (0, 164): R=0, G=0, B=0
Pixel at (0, 165): R=0, G=0, B=0
Pixel at (0, 166): R=0, G=0, B=0
Pixel at (0, 167): R=0, G=0, B=0
Pixel at (0, 168): R=0, G=0, B=0
Pixel at (0, 169): R=0, G=0, B=0
Pixel at (0, 170): R=0, G=0, B=0
Pixel at (0, 171): R=0, G=0, B=0
Pixel at (0, 172): R=0, G=0, B=0
Pixel at (0, 173): R=0, G=0, B=0
Pixel at (0, 174): R=0, G=0, B=0
Pixel at (0, 175): R=0, G=0, B=0
Pixel at (0, 176): R=0, G=0, B=0
Pixel at (0, 177): R=0, G=0, B=0
Pixel at (0, 178): R=0, G=0, B=0
Pixel at (0, 179): R=0, G=0, B=0
Pixel at (0, 180): R=0, G=0, B=0
Pixel at (0, 181): R=0, G=0, B=0
Pixel at (0, 182): R=0, G=0, B=0
Pixel at (0, 183): R=0, G=0, B=0
Pixel at (0, 184): R=0, G=0, B=0
Pixel at (0, 185): R=0, G=0, B=0
